Load,NOx,HC,CO,PM,SO2,CO2,N2O,CH4
2%,4.63,21.18,9.68,7.29,3.36,3.28,4.63,21.18
3%,2.92,11.68,6.46,4.33,2.49,2.44,2.92,11.68
4%,2.21,7.71,4.86,3.09,2.05,2.01,2.21,7.71
5%,1.83,5.61,3.89,2.44,1.79,1.76,1.83,5.61
6%,1.6,4.35,3.25,2.04,1.61,1.59,1.6,4.35
7%,1.45,3.52,2.79,1.79,1.49,1.47,1.45,3.52
8%,1.35,2.95,2.45,1.61,1.39,1.38,1.35,2.95
9%,1.27,2.52,2.18,1.48,1.32,1.31,1.27,2.52
10%,1.22,2.2,1.96,1.38,1.26,1.25,1.22,2.2
11%,1.17,1.96,1.79,1.3,1.21,1.21,1.17,1.96
12%,1.14,1.76,1.64,1.24,1.18,1.17,1.14,1.76
13%,1.11,1.6,1.52,1.19,1.14,1.14,1.11,1.6
14%,1.08,1.47,1.41,1.15,1.11,1.11,1.08,1.47
15%,1.06,1.36,1.32,1.11,1.09,1.08,1.06,1.36
16%,1.05,1.26,1.24,1.08,1.07,1.06,1.05,1.26
17%,1.03,1.18,1.17,1.06,1.05,1.04,1.03,1.18
18%,1.02,1.11,1.11,1.04,1.03,1.03,1.02,1.11
19%,1.01,1.05,1.05,1.02,1.01,1.01,1.01,1.05
20%,1,1,1,1,1,1,1,1
